time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter
758,0,0,0,0.19876532050819995,0.15438266025409997,9.776307902881149,0.028405901120960184
759,0,0,0,0.19533137981401488,0.15266568990700746,9.724348476429032,0.024498662049961793
760,0,0,0,0.19644376169580866,0.15322188084790433,9.738879545307014,0.02251565013281628
761,0,0,0,0.19537613135715565,0.15268806567857784,9.720911920727097,0.02457674973387293
762,0,0,0,0.19313144828023027,0.15156572414011513,9.687911106585641,0.03109496156840151
763,0,0,0,0.19819819844794373,0.15409909922397186,9.761314512476421,0.03032443943567373
764,0,0,0,0.19880550001054664,0.15440275000527331,9.766416343203893,0.030721879134780652
765,0,0,0,0.19836607245089588,0.15418303622544793,9.755971568488949,0.030289502406415283
766,0,0,0,0.20035215430903439,0.1551760771545172,9.783598657471673,0.02991262180664764
767,0,0,0,0.2013560151398943,0.15567800756994715,9.800046033450569,0.031963884792359364
768,0,0,0,0.20171202103193148,0.15585601051596573,9.80444153620999,0.03510149646744418
769,0,0,0,0.20215323152772716,0.15607661576386359,9.812956050666537,0.03750277066386252
770,0,0,0,0.20436849077999572,0.15718424538999787,9.84300132481992,0.043298840976529356
771,0,0,0,0.20123779522461946,0.15561889761230974,9.798546853341286,0.039978311772407994
772,0,0,0,0.20209125159740926,0.15604562579870462,9.813120181986044,0.02583759164715203
773,0,0,0,0.2005215079001682,0.15526075395008412,9.786998016482539,0.023650684527670725
774,0,0,0,0.20080780316870295,0.1554039015843515,9.793102442047854,0.021513566878421618
775,0,0,0,0.2039728836184473,0.15698644180922364,9.842342189382906,0.019694295288697483
776,0,0,0,0.20174126595527742,0.15587063297763873,9.81221338223765,0.017971277466858285
777,0,0,0,0.20061643517903138,0.1553082175895157,9.795735301077425,0.018270317726668466
778,0,0,0,0.20379202919771697,0.1568960145988585,9.84421189722542,0.020736173610918746
779,0,0,0,0.20591322899906497,0.15795661449953252,9.878318802286882,0.02824775672732663
780,0,0,0,0.20608095002946097,0.1580404750147305,9.882247114709356,0.033333764515627036
781,0,0,0,0.20506956218441433,0.15753478109220717,9.869020691570865,0.03449259050201716
782,0,0,0,0.20203936412408321,0.15601968206204161,9.827780256515751,0.03397814295702147
783,0,0,0,0.2003110725114073,0.15515553625570366,9.801786887173298,0.03221105361754915
784,0,0,0,0.19896478780666957,0.1544823939033348,9.775094625348647,0.034877883191849354
785,0,0,0,0.19895429395323294,0.1544771469766165,9.773400163643943,0.038906312309823665
786,0,0,0,0.20204897954631168,0.15602448977315586,9.819431871234531,0.0387106519885199
787,0,0,0,0.20083872854153526,0.15541936427076763,9.802513411472152,0.0382187029491702
788,0,0,0,0.20054552072978368,0.15527276036489185,9.797880140372174,0.03870272774648397
789,0,0,0,0.20192902275184746,0.15596451137592376,9.819006678298475,0.03398974899663069
790,0,0,0,0.19943095089120022,0.15471547544560013,9.776937188942762,0.027844460638464026
791,0,0,0,0.1981977300680064,0.15409886503400322,9.760371635518009,0.021782997472420053
792,0,0,0,0.19981702423123668,0.15490851211561835,9.786717879063563,0.01898668503763217
793,0,0,0,0.1993556386999749,0.15467781934998745,9.781992332886558,0.018822788491013053
794,0,0,0,0.19787806051472653,0.15393903025736327,9.758702026292502,0.020619600842926494
795,0,0,0,0.1975489809290849,0.15377449046454245,9.750157310636173,0.023243079858559838
796,0,0,0,0.1980321969196347,0.15401609845981734,9.757839699352257,0.021496240283515607
797,0,0,0,0.19747095755599592,0.15373547877799795,9.748991577216483,0.021690377586838977
798,0,0,0,0.1966842627676973,0.15334213138384867,9.733016238044412,0.023184460638353863
799,0,0,0,0.19472286703166172,0.15236143351583087,9.705089560367396,0.02300158638217637
800,0,0,0,0.19409169374895802,0.15204584687447903,9.69650438652594,0.027824772291204777
801,0,0,0,0.1947615037029748,0.1523807518514874,9.702696922988947,0.03049874187783923
802,0,0,0,0.19469154957236232,0.15234577478618117,9.698969406792589,0.02900632702605722
803,0,0,0,0.19591138485475101,0.1529556924273755,9.7164226903889,0.024310933498692365
804,0,0,0,0.19528163714062097,0.15264081857031048,9.70959730458856,0.022251088380338045
805,0,0,0,0.19606130814669645,0.15303065407334826,9.720359422674218,0.020169072263272667
806,0,0,0,0.19584284836934399,0.152921424184672,9.716524901537387,0.015461533567512665
807,0,0,0,0.1938993974251178,0.15194969871255892,9.685737132704082,0.012916056613499219
808,0,0,0,0.19359224021881857,0.1517961201094093,9.678668540483756,0.012887421562470325
809,0,0,0,0.19336376481179546,0.15168188240589775,9.673574618182345,0.015577607065979819
810,0,0,0,0.1902741119175318,0.15013705595876592,9.628843395180828,0.02647088407237866
811,0,0,0,0.18977806725066387,0.14988903362533196,9.623392281276448,0.03339382287527964
812,0,0,0,0.19243447886953757,0.15121723943476878,9.660252942573454,0.033815723026938464
813,0,0,0,0.19285920819114405,0.15142960409557205,9.6700609034381,0.031806075424263024
814,0,0,0,0.19402711237424697,0.15201355618712348,9.679079684659104,0.029910920943077336
815,0,0,0,0.19366814959804923,0.15183407479902464,9.675892939213577,0.025636128363652297
816,0,0,0,0.196028619848588,0.153014309924294,9.70990259685813,0.024463884765281378
817,0,0,0,0.1971668007275627,0.15358340036378137,9.722677141897773,0.029126296905671523
818,0,0,0,0.19806495005963293,0.15403247502981648,9.739371480754668,0.035469569767916806
819,0,0,0,0.19862433420425005,0.15431216710212503,9.746695130479301,0.040866986406971985
820,0,0,0,0.20195288897756214,0.1559764444887811,9.797158589753373,0.048048350612771636
821,0,0,0,0.2012416537154253,0.15562082685771267,9.78401285655119,0.045726845113363966
822,0,0,0,0.20164520801808833,0.15582260400904419,9.793777510417831,0.04625771511324217
823,0,0,0,0.2003290378963254,0.15516451894816272,9.77788990302768,0.04305119576484318
824,0,0,0,0.19863737262049166,0.15431868631024587,9.753750638748603,0.037495530851457626
825,0,0,0,0.19799121991662597,0.153995609958313,9.743045735743873,0.028547405508918523
826,0,0,0,0.19857663986987897,0.15428831993493952,9.751811760224669,0.02407708815073692
827,0,0,0,0.1995570602490174,0.1547785301245087,9.769695172368909,0.020447892491312247
828,0,0,0,0.20082818982805925,0.15541409491402963,9.78449955288841,0.019067922531578182
829,0,0,0,0.20125279261819212,0.15562639630909605,9.788543562870085,0.01800532044794965
830,0,0,0,0.1989853980967402,0.1544926990483701,9.75746226720807,0.01689597654492809
831,0,0,0,0.1993815528349644,0.15469077641748222,9.765989165476881,0.01630387395914166
832,0,0,0,0.1965418733728025,0.15327093668640127,9.723109114814134,0.01897590686525144
833,0,0,0,0.19709001150813368,0.15354500575406685,9.72868522168955,0.02043223698324768
834,0,0,0,0.19495135537175673,0.15247567768587839,9.696575401256048,0.027293712906129326
835,0,0,0,0.1943805498512678,0.15219027492563392,9.690030521702116,0.03288803925156936
836,0,0,0,0.19656478597589874,0.1532823929879494,9.724864485111755,0.03337237850298929
837,0,0,0,0.19540887052071526,0.15270443526035765,9.707635105831642,0.03359059929868932
838,0,0,0,0.19611638379057042,0.15305819189528524,9.716030125606459,0.029937141929366477
839,0,0,0,0.1960686605229423,0.15303433026147117,9.713347927887138,0.022870639649859026
840,0,0,0,0.196272869756263,0.15313643487813153,9.71578116866382,0.019670079357068188
841,0,0,0,0.19454294304083558,0.1522714715204178,9.692369155346316,0.013081544578180124
842,0,0,0,0.19341704091216105,0.15170852045608055,9.671548641498775,0.01684930446065251
843,0,0,0,0.1909224151694277,0.15046120758471387,9.635932716351377,0.02513043596212427
844,0,0,0,0.19098214463025773,0.15049107231512887,9.635591060517516,0.03105250580917671
845,0,0,0,0.19057606821577566,0.15028803410788785,9.634662805766466,0.03526031360926768
